"","puppy","date","M","N"
"268","Aurora ",2020-02-22,290.387254901961,1020
"269","Aurora ",2020-02-23,357.332352941176,1020
"270","Aurora ",2020-02-24,279.842156862745,1020
"271","Aurora ",2020-02-25,276.920588235294,1020
"272","Aurora ",2020-02-26,271.175490196078,1020
"273","Aurora ",2020-02-27,270.155882352941,1020
"274","Aurora ",2020-02-28,316.053921568627,1020
"275","Aurora ",2020-02-29,308.224509803922,1020
"276","Aurora ",2020-03-01,350.900980392157,1020
"277","Aurora ",2020-03-02,360.292156862745,1020
"278","Aurora ",2020-03-03,251.844117647059,1020
"279","Aurora ",2020-03-04,309.191176470588,1020
"280","Aurora ",2020-03-05,338.811764705882,1020
"281","Aurora ",2020-03-06,331.980392156863,1020
"282","Aurora ",2020-03-07,327.369607843137,1020
"283","Aurora ",2020-03-08,214.849019607843,1020
"284","Aurora ",2020-03-09,252.28431372549,1020
"285","Aurora ",2020-03-10,269.573529411765,1020
"286","Aurora ",2020-03-11,50.3676470588235,1020
"287","Aurora ",2020-03-12,47.6696078431373,1020
"288","Aurora ",2020-03-13,5.59803921568627,1020
"289","Aurora ",2020-03-14,0,1020
"290","Aurora ",2020-03-15,0,1020
"291","Aurora ",2020-03-16,0,1020
"292","Aurora ",2020-03-17,0,1020
"293","Aurora ",2020-03-18,0,1020
"294","Aurora ",2020-03-19,0,1020
"295","Aurora ",2020-03-20,0,1020
"296","Aurora ",2020-03-21,0,1020
"297","Aurora ",2020-03-22,0,1020
"298","Aurora ",2020-03-23,0,1020
"299","Aurora ",2020-03-24,0,1020
"300","Aurora ",2020-03-25,0,1020
"301","Aurora ",2020-03-26,0,1020
"302","Aurora ",2020-03-27,0,1020
"303","Aurora ",2020-03-28,0,1020
"304","Aurora ",2020-03-29,0,1020
"305","Aurora ",2020-03-30,0,1020
"306","Aurora ",2020-03-31,0,1020
"307","Aurora ",2020-04-01,0,1020
"308","Aurora ",2020-04-02,0,1020
"309","Aurora ",2020-04-03,0,1020
"310","Aurora ",2020-04-04,0,1020
"311","Aurora ",2020-04-05,0,1020
"312","Aurora ",2020-04-06,0,1020
"313","Aurora ",2020-04-07,0.0323529411764706,1020
"314","Aurora ",2020-04-08,0,1020
"315","Aurora ",2020-04-09,0,1020
"316","Aurora ",2020-04-10,0,1020
"317","Aurora ",2020-04-11,0,1020
"318","Aurora ",2020-04-12,0,1020
"319","Aurora ",2020-04-13,0,1020
"320","Aurora ",2020-04-14,0,1020
"321","Aurora ",2020-04-15,0,1020
"322","Aurora ",2020-04-16,0,1020
"323","Aurora ",2020-04-17,0,1020
"324","Aurora ",2020-04-18,0,1020
"325","Aurora ",2020-04-19,0,1020
"326","Aurora ",2020-04-20,0,1020
"327","Aurora ",2020-04-21,0,1020
"328","Aurora ",2020-04-22,0,1020
"329","Aurora ",2020-04-23,0,1020
"330","Aurora ",2020-04-24,0,1020
"331","Aurora ",2020-04-25,0,1020
